iou_threshold,TP,FP,FN,precision,recall,f1_score
0.25,2621,146,294,0.9472352728586917,0.8991423670668953,0.9225624780007039
0.3,2620,147,295,0.9468738706179979,0.8987993138936535,0.9222104892643436
0.35,2618,149,297,0.94615106613661,0.8981132075471698,0.9215065117916227
0.4,2616,151,299,0.9454282616552223,0.8974271012006861,0.9208025343189017
0.45,2607,160,308,0.9421756414889773,0.8943396226415095,0.9176346356916579
0.5,2580,187,335,0.9324177809902421,0.8850771869639794,0.908130939809926
0.55,2515,252,400,0.9089266353451392,0.8627787307032591,0.8852516719464978
0.6,2147,620,768,0.7759306107697868,0.7365351629502573,0.755719816965857
0.65,1546,1221,1369,0.5587278641127575,0.5303602058319039,0.5441745864132348
0.7,915,1852,2000,0.33068305023491146,0.313893653516295,0.3220696937697994
0.75,453,2314,2462,0.1637152150343332,0.1554030874785592,0.1594508975712777
0.8,200,2567,2715,0.07228044813877846,0.0686106346483705,0.0703977472720873
0.85,55,2712,2860,0.019877123238164075,0.018867924528301886,0.019359380499824004
0.9,11,2756,2904,0.003975424647632815,0.0037735849056603774,0.0038718760999648014
0.95,1,2766,2914,0.0003614022406938923,0.00034305317324185246,0.00035198873636043646
