epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8261,1.3847,0.72035,0.30517,0.38535,0.37237,0.27575,0.05323,1.17518,0.36516,0.11228,0.000657895,0.000657895,0.000657895
2,33.2871,0.82324,0.48866,0.04696,0.68136,0.66967,0.60789,0.16404,0.8628,0.46507,0.03602,0.00132081,0.00132081,0.00132081
3,50.0106,0.82084,0.45027,0.0377,0.66146,0.64219,0.58153,0.12235,0.93112,0.41623,0.03883,0.00197996,0.00197996,0.00197996
4,66.4126,0.80672,0.45026,0.0392,0.81472,0.80418,0.81766,0.26914,0.7394,0.45584,0.03126,0.00198303,0.00198303,0.00198303
5,83.1577,0.78429,0.44951,0.0384,0.73227,0.69186,0.67241,0.16922,0.90993,0.42598,0.04952,0.00197737,0.00197737,0.00197737
6,99.763,0.81072,0.44329,0.04572,0.85353,0.8265,0.86613,0.32774,0.70786,0.45888,0.03147,0.00197171,0.00197171,0.00197171
7,116.422,0.71202,0.46401,0.0313,0.88417,0.84634,0.87862,0.31736,0.69327,0.47097,0.02763,0.00196606,0.00196606,0.00196606
8,133.089,0.75209,0.45798,0.03612,0.72122,0.72454,0.65386,0.14523,0.86155,0.42392,0.03808,0.0019604,0.0019604,0.0019604
9,149.572,0.72353,0.4553,0.03581,0.51682,0.51672,0.34546,0.06127,0.96193,0.45716,0.04317,0.00195474,0.00195474,0.00195474
10,166.101,0.68316,0.46095,0.02817,0.87436,0.86105,0.88461,0.28431,0.71991,0.47338,0.02898,0.00194909,0.00194909,0.00194909
11,182.625,0.75598,0.47137,0.03001,0.89423,0.87653,0.91052,0.35675,0.68273,0.44587,0.0231,0.00194343,0.00194343,0.00194343
12,199.343,0.64568,0.47792,0.02265,0.90956,0.88332,0.92341,0.40259,0.62035,0.45091,0.02147,0.00193777,0.00193777,0.00193777
13,216.133,0.70413,0.49164,0.02696,0.89668,0.89489,0.91891,0.33581,0.6716,0.46413,0.02708,0.00193211,0.00193211,0.00193211
14,232.756,0.6739,0.4577,0.02976,0.80246,0.76386,0.75764,0.20771,0.80603,0.42526,0.03553,0.00192646,0.00192646,0.00192646
15,249.323,0.63972,0.44924,0.02557,0.9047,0.86537,0.89857,0.31,0.71744,0.45075,0.02793,0.0019208,0.0019208,0.0019208
16,265.782,0.73677,0.4402,0.03007,0.91584,0.89308,0.92939,0.35772,0.67789,0.45271,0.02267,0.00191514,0.00191514,0.00191514
17,282.356,0.75717,0.45896,0.02681,0.86744,0.82915,0.85066,0.23458,0.78028,0.44399,0.033,0.00190949,0.00190949,0.00190949
18,298.81,0.72422,0.45329,0.03083,0.83757,0.84809,0.85328,0.25026,0.76354,0.44404,0.03431,0.00190383,0.00190383,0.00190383
19,315.421,0.66348,0.45116,0.02781,0.9018,0.86609,0.91035,0.36247,0.66149,0.47147,0.02897,0.00189817,0.00189817,0.00189817
20,331.917,0.63256,0.45443,0.02686,0.87809,0.86537,0.89415,0.30297,0.72292,0.45806,0.02904,0.00189251,0.00189251,0.00189251
21,348.508,0.61011,0.44677,0.02677,0.86889,0.87257,0.88961,0.30674,0.7259,0.45423,0.0314,0.00188686,0.00188686,0.00188686
22,365.008,0.59752,0.44927,0.02099,0.90065,0.90718,0.93133,0.41214,0.60812,0.45542,0.02517,0.0018812,0.0018812,0.0018812
23,381.693,0.62491,0.44499,0.02695,0.89971,0.88409,0.91352,0.33861,0.67835,0.45236,0.02816,0.00187554,0.00187554,0.00187554
24,398.162,0.62733,0.44311,0.0232,0.92315,0.90809,0.94046,0.37435,0.63895,0.44563,0.02598,0.00186989,0.00186989,0.00186989
25,414.757,0.61212,0.44239,0.02379,0.91534,0.90299,0.93107,0.37676,0.65192,0.44077,0.02201,0.00186423,0.00186423,0.00186423
26,431.276,0.5859,0.43726,0.0226,0.92173,0.92408,0.94066,0.42156,0.60298,0.44934,0.02323,0.00185857,0.00185857,0.00185857
27,447.891,0.59243,0.4421,0.01922,0.92439,0.91577,0.94352,0.39833,0.62477,0.45123,0.02754,0.00185291,0.00185291,0.00185291
28,464.379,0.61187,0.44117,0.02504,0.78902,0.7761,0.72793,0.13391,0.87437,0.43476,0.03807,0.00184726,0.00184726,0.00184726
29,480.858,0.59755,0.44402,0.02203,0.9173,0.92729,0.94076,0.37225,0.64509,0.45149,0.02572,0.0018416,0.0018416,0.0018416
30,497.362,0.5725,0.43667,0.02242,0.93789,0.92657,0.95173,0.45821,0.56468,0.44923,0.02229,0.00183594,0.00183594,0.00183594
31,514.154,0.57544,0.43648,0.02294,0.9116,0.90929,0.9258,0.37599,0.64944,0.45048,0.0258,0.00183029,0.00183029,0.00183029
32,530.736,0.60786,0.44538,0.022,0.90802,0.90264,0.93006,0.34525,0.6748,0.4575,0.02352,0.00182463,0.00182463,0.00182463
33,547.304,0.59583,0.44143,0.01878,0.91853,0.89282,0.9316,0.3316,0.68785,0.45088,0.02787,0.00181897,0.00181897,0.00181897
34,563.759,0.56546,0.44022,0.02014,0.93094,0.92441,0.95336,0.37962,0.64586,0.46099,0.02649,0.00181331,0.00181331,0.00181331
35,580.297,0.57089,0.43627,0.02187,0.8741,0.85745,0.87538,0.21298,0.81715,0.44497,0.0354,0.00180766,0.00180766,0.00180766
36,596.779,0.60077,0.4425,0.02379,0.81251,0.78834,0.79591,0.15618,0.87698,0.45276,0.03871,0.001802,0.001802,0.001802
37,613.405,0.62256,0.44272,0.02462,0.92334,0.90181,0.93285,0.39833,0.6202,0.44507,0.02334,0.00179634,0.00179634,0.00179634
38,629.875,0.57778,0.43777,0.02086,0.91681,0.92038,0.94098,0.38876,0.64386,0.45353,0.02587,0.00179069,0.00179069,0.00179069
39,646.292,0.58201,0.43879,0.02382,0.91227,0.91289,0.93478,0.43707,0.58884,0.44186,0.02004,0.00178503,0.00178503,0.00178503
40,662.791,0.63556,0.44739,0.02677,0.92325,0.92297,0.94618,0.42215,0.60267,0.4516,0.0234,0.00177937,0.00177937,0.00177937
41,679.267,0.60617,0.44168,0.02267,0.92356,0.90468,0.94155,0.38954,0.61983,0.45378,0.02385,0.00177371,0.00177371,0.00177371
42,695.902,0.59127,0.44298,0.02395,0.9091,0.88769,0.91263,0.29505,0.72922,0.46337,0.03101,0.00176806,0.00176806,0.00176806
43,712.38,0.58798,0.43508,0.02491,0.91682,0.89705,0.92615,0.35753,0.65084,0.4502,0.02411,0.0017624,0.0017624,0.0017624
44,728.914,0.61616,0.44112,0.02342,0.88487,0.87545,0.89377,0.3456,0.66497,0.45815,0.02664,0.00175674,0.00175674,0.00175674
45,745.442,0.59853,0.44337,0.02335,0.9235,0.91361,0.94017,0.39648,0.61718,0.45045,0.02408,0.00175109,0.00175109,0.00175109
46,762.024,0.57643,0.44066,0.02312,0.9147,0.90065,0.93432,0.47103,0.5712,0.44508,0.02022,0.00174543,0.00174543,0.00174543
47,778.628,0.60667,0.45101,0.02451,0.8788,0.86681,0.87836,0.33806,0.67625,0.44633,0.02744,0.00173977,0.00173977,0.00173977
48,795.147,0.6066,0.44438,0.02685,0.92066,0.91899,0.94505,0.53583,0.49741,0.43433,0.01605,0.00173411,0.00173411,0.00173411
49,811.809,0.58994,0.4366,0.02408,0.92063,0.92513,0.9412,0.5065,0.52902,0.43743,0.02054,0.00172846,0.00172846,0.00172846
50,828.374,0.58925,0.44543,0.02536,0.91952,0.89663,0.91883,0.35195,0.67139,0.44,0.02711,0.0017228,0.0017228,0.0017228
