epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2043,2.77177,5.13255,0.88765,0.25714,0.63086,0.20487,0.05071,2.26773,157.664,0.73229,0.000663594,0.000663594,0.000663594
2,89.9287,2.69448,1.84504,0.87138,0.06107,0.4388,0.04996,0.01836,nan,nan,nan,0.00132368,0.00132368,0.00132368
3,137.304,2.55969,1.80781,0.84244,0,0,0,0,nan,nan,nan,0.00197716,0.00197716,0.00197716
4,182.784,2.67724,1.58426,0.87279,0.54695,0.23503,0.29613,0.07901,nan,nan,nan,0.0019703,0.0019703,0.0019703
5,226.734,2.56715,1.65232,0.83839,0.31805,0.20638,0.17348,0.03431,2.59577,23.7166,0.76321,0.0019604,0.0019604,0.0019604
6,270.855,2.56079,1.6041,0.84099,0.75854,0.61589,0.6608,0.21942,1.85023,2.66078,0.67831,0.0019505,0.0019505,0.0019505
7,315.016,2.49322,1.41054,0.83405,0.65209,0.61136,0.54539,0.13099,2.27479,2.00429,0.68416,0.0019406,0.0019406,0.0019406
8,361.941,2.37325,1.37205,0.8364,0.77193,0.75651,0.78211,0.24574,1.8262,2.98059,0.67214,0.0019307,0.0019307,0.0019307
9,408.165,2.38965,1.25048,0.8351,0.57737,0.67643,0.60623,0.15062,2.22653,1.00808,0.7,0.0019208,0.0019208,0.0019208
10,452.37,2.35725,1.27615,0.8264,0.52174,0.49716,0.43009,0.09878,2.14908,34.1057,0.67536,0.0019109,0.0019109,0.0019109
11,497.673,2.2777,1.37329,0.81904,0.64716,0.60221,0.55644,0.13244,2.33161,1.32712,0.70383,0.001901,0.001901,0.001901
12,543.113,2.30881,1.23934,0.81757,0.63269,0.36849,0.37822,0.09675,nan,nan,nan,0.0018911,0.0018911,0.0018911
13,588.07,2.24424,1.22495,0.81572,0.8915,0.79704,0.86067,0.31276,1.78071,1.08099,0.67017,0.0018812,0.0018812,0.0018812
14,632.714,2.15142,1.06416,0.81382,0.84876,0.80379,0.85896,0.35213,1.56425,1.69034,0.64468,0.0018713,0.0018713,0.0018713
15,678.507,2.09792,0.98501,0.80716,0.88259,0.82218,0.85901,0.28208,1.90507,0.75422,0.67433,0.0018614,0.0018614,0.0018614
16,725.026,2.09896,1.02397,0.82813,0.81607,0.70768,0.78705,0.26181,1.8866,0.87138,0.66247,0.0018515,0.0018515,0.0018515
17,769.451,2.1536,1.1452,0.80723,0.71206,0.66471,0.6272,0.20011,1.99343,1.06077,0.65492,0.0018416,0.0018416,0.0018416
18,814.778,2.16355,1.24419,0.80353,0.702,0.63411,0.62712,0.21319,1.93761,2.17724,0.66161,0.0018317,0.0018317,0.0018317
19,858.121,2.11803,1.11074,0.81774,0.85243,0.75216,0.81554,0.28203,1.81677,0.9468,0.65916,0.0018218,0.0018218,0.0018218
20,900.975,2.03715,1.01282,0.81108,0.80599,0.74648,0.75602,0.26434,1.83132,0.8734,0.64936,0.0018119,0.0018119,0.0018119
21,946.215,2.00427,0.94796,0.79668,0.8352,0.74236,0.79441,0.30806,1.69946,0.82539,0.64255,0.001802,0.001802,0.001802
22,989.323,1.99073,0.99143,0.79782,0.87824,0.77479,0.82466,0.24218,2.00121,1.19341,0.68518,0.0017921,0.0017921,0.0017921
23,1032.86,2.05153,1.04681,0.79295,0.85197,0.80187,0.85519,0.31679,1.70896,0.84429,0.6484,0.0017822,0.0017822,0.0017822
24,1077.46,2.14418,1.101,0.81413,0.88091,0.7832,0.81825,0.24804,1.99288,1.90729,0.68941,0.0017723,0.0017723,0.0017723
25,1122.16,1.9504,0.93062,0.78953,0.87245,0.8149,0.86632,0.34415,1.64011,1.48645,0.6517,0.0017624,0.0017624,0.0017624
26,1167.22,2.03682,1.08406,0.79883,0.83172,0.75456,0.81623,0.27163,1.87178,1.13737,0.6613,0.0017525,0.0017525,0.0017525
27,1210.47,2.0229,1.05827,0.80752,0.88918,0.81966,0.86901,0.29572,1.82235,6.74222,0.67462,0.0017426,0.0017426,0.0017426
28,1254.02,1.91102,0.91565,0.77787,0.85362,0.80488,0.84315,0.29343,1.81627,0.87948,0.65962,0.0017327,0.0017327,0.0017327
29,1296.66,1.95907,1.0107,0.80818,0.88781,0.82161,0.89259,0.39244,1.56019,0.72907,0.64609,0.0017228,0.0017228,0.0017228
30,1339.48,2.02788,1.00127,0.81602,0.88907,0.84505,0.89568,0.36769,1.60604,0.70273,0.65005,0.0017129,0.0017129,0.0017129
31,1381.84,1.89419,0.94415,0.78244,0.7601,0.68034,0.69366,0.24103,1.89961,0.84334,0.65059,0.001703,0.001703,0.001703
32,1424.17,2.00655,0.93299,0.82177,0.8937,0.82227,0.89458,0.35811,1.66431,0.72287,0.655,0.0016931,0.0016931,0.0016931
33,1466.45,1.95348,0.92053,0.80871,0.85195,0.70898,0.78699,0.28999,1.75795,0.91218,0.6489,0.0016832,0.0016832,0.0016832
34,1509.05,1.93464,0.89175,0.79358,0.90848,0.84766,0.9013,0.3551,1.71256,0.70709,0.65673,0.0016733,0.0016733,0.0016733
35,1553.81,1.88637,0.90427,0.78042,0.88919,0.77317,0.86238,0.35918,1.56558,0.80193,0.64097,0.0016634,0.0016634,0.0016634
36,1597.4,1.88694,0.87969,0.79375,0.88124,0.84544,0.88579,0.36106,1.63743,0.72247,0.65357,0.0016535,0.0016535,0.0016535
37,1641,1.90885,1.06219,0.77427,0.87437,0.75846,0.84852,0.33591,1.6769,0.85516,0.65081,0.0016436,0.0016436,0.0016436
38,1683.62,1.93557,0.92431,0.79663,0.37383,0.32227,0.20079,0.05481,2.54981,1.17954,0.68589,0.0016337,0.0016337,0.0016337
39,1726,1.88799,0.95096,0.77075,0.90436,0.88037,0.91315,0.41577,1.45519,0.76523,0.64261,0.0016238,0.0016238,0.0016238
40,1769.36,1.88498,0.92546,0.80451,0.90526,0.87092,0.90007,0.38785,1.5641,0.78738,0.64873,0.0016139,0.0016139,0.0016139
41,1813.47,1.83022,0.84025,0.78683,0.89165,0.83044,0.88924,0.38507,1.54124,0.69631,0.64258,0.001604,0.001604,0.001604
42,1856.58,1.77683,0.83345,0.77961,0.85043,0.82918,0.85235,0.31564,1.73146,0.70075,0.643,0.0015941,0.0015941,0.0015941
43,1900.69,1.85364,0.8812,0.77961,0.90337,0.85213,0.89944,0.40754,1.48397,0.65008,0.64123,0.0015842,0.0015842,0.0015842
44,1944.8,1.752,0.84484,0.7694,0.90801,0.81901,0.8892,0.36618,1.58577,0.72131,0.64547,0.0015743,0.0015743,0.0015743
45,1988.61,1.86246,0.90195,0.79188,0.89587,0.82898,0.87706,0.36616,1.61345,0.75597,0.66101,0.0015644,0.0015644,0.0015644
46,2031.34,1.74796,0.86006,0.76898,0.90163,0.82552,0.89006,0.39348,1.49341,0.67619,0.63975,0.0015545,0.0015545,0.0015545
47,2073.73,1.75478,0.87486,0.77396,0.90284,0.87114,0.91087,0.41537,1.47088,0.70905,0.63445,0.0015446,0.0015446,0.0015446
48,2116.21,1.80567,0.8717,0.78466,0.90862,0.83724,0.90262,0.43938,1.40954,0.65268,0.63213,0.0015347,0.0015347,0.0015347
49,2160.01,1.75514,0.82326,0.76046,0.87483,0.85612,0.88688,0.41317,1.40141,0.63862,0.62527,0.0015248,0.0015248,0.0015248
50,2204.68,1.87717,0.92228,0.79194,0.89169,0.88021,0.89854,0.35894,1.6365,0.88417,0.65163,0.0015149,0.0015149,0.0015149
51,2249.21,1.7486,0.86275,0.76667,0.80516,0.72786,0.73291,0.27193,1.76152,0.81129,0.64078,0.001505,0.001505,0.001505
52,2292.53,1.74148,0.87038,0.77825,0.90693,0.87547,0.90649,0.42573,1.47356,0.66674,0.63819,0.0014951,0.0014951,0.0014951
53,2335.61,1.7907,0.8993,0.79222,0.89186,0.88281,0.90701,0.44976,1.31872,0.76013,0.62415,0.0014852,0.0014852,0.0014852
54,2379.08,1.85967,0.86761,0.78107,0.83039,0.74269,0.76719,0.32357,1.60138,0.79007,0.63319,0.0014753,0.0014753,0.0014753
55,2423.21,1.66554,0.80286,0.74224,0.90219,0.8431,0.90307,0.4201,1.48584,0.6743,0.63569,0.0014654,0.0014654,0.0014654
56,2466.69,1.79334,0.88985,0.77811,0.91464,0.89289,0.92316,0.43121,1.43369,0.65129,0.63598,0.0014555,0.0014555,0.0014555
57,2510.34,1.81323,0.85099,0.79259,0.86152,0.80924,0.83835,0.31986,1.64582,0.74653,0.64097,0.0014456,0.0014456,0.0014456
58,2554.91,1.65465,0.7442,0.756,0.89935,0.8668,0.90269,0.37052,1.64467,0.6795,0.65178,0.0014357,0.0014357,0.0014357
59,2599.57,1.72441,0.83316,0.77503,0.93247,0.86308,0.92237,0.38603,1.58603,0.67893,0.64481,0.0014258,0.0014258,0.0014258
60,2643.53,1.71476,0.80208,0.77484,0.88003,0.80208,0.86089,0.37927,1.52514,0.7548,0.63127,0.0014159,0.0014159,0.0014159
61,2688.36,1.72628,0.84818,0.77175,0.88712,0.83911,0.87443,0.32734,1.72673,0.74834,0.6503,0.001406,0.001406,0.001406
