epoch,total_loss,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg
1,0.3458,0.0638,0.2325,0.0202,0.0294
2,0.2847,0.0516,0.1993,0.0155,0.0184
3,0.1972,0.0433,0.1265,0.0149,0.0125
4,0.2027,0.0439,0.1323,0.014,0.0125
5,0.1816,0.0435,0.1122,0.0148,0.011
6,0.1772,0.0404,0.1104,0.0149,0.0116
7,0.1693,0.0379,0.1092,0.0115,0.0108
8,0.1767,0.0364,0.1179,0.0111,0.0112
9,0.1736,0.0422,0.1067,0.0135,0.0112
10,0.1842,0.0369,0.1215,0.0135,0.0123
11,0.1662,0.0391,0.1063,0.0113,0.0094
12,0.1792,0.044,0.1117,0.0127,0.0108
13,0.1914,0.0379,0.131,0.0113,0.0112
14,0.1848,0.0421,0.1176,0.0154,0.0098
15,0.1603,0.036,0.1022,0.012,0.0101
16,0.1604,0.0374,0.1015,0.0126,0.0089
17,0.1594,0.036,0.1018,0.0123,0.0093
18,0.159,0.0377,0.1007,0.0114,0.0093
19,0.1638,0.0376,0.1024,0.0143,0.0095
20,0.1652,0.0392,0.1031,0.0131,0.0098
21,0.1619,0.0377,0.1005,0.0145,0.0091
22,0.1609,0.0381,0.101,0.0131,0.0087
23,0.1611,0.0391,0.0992,0.0137,0.0091
24,0.1612,0.0392,0.0996,0.0132,0.0092
25,0.1648,0.0388,0.1018,0.0152,0.009
26,0.1623,0.038,0.1016,0.0134,0.0093
27,0.1579,0.0375,0.0984,0.0128,0.0091
28,0.1599,0.0391,0.0966,0.0158,0.0085
29,0.16,0.0387,0.0997,0.0127,0.0089
30,0.169,0.0397,0.1047,0.016,0.0086
31,0.166,0.0405,0.101,0.0158,0.0087
32,0.1646,0.0389,0.1007,0.0157,0.0092
33,0.1652,0.0405,0.0998,0.016,0.009
34,0.1653,0.0415,0.1,0.015,0.0089
35,0.1661,0.0392,0.1014,0.0161,0.0094
36,0.1672,0.0412,0.1018,0.0154,0.0088
37,0.1653,0.0393,0.1009,0.0161,0.009
38,0.1665,0.0395,0.0999,0.0183,0.0088
39,0.1653,0.04,0.1001,0.0162,0.009
40,0.1648,0.0404,0.1001,0.0156,0.0087
41,0.1659,0.0408,0.0999,0.0162,0.009
42,0.1637,0.0396,0.1002,0.0148,0.009
43,0.1636,0.0392,0.1006,0.0151,0.0088
44,0.1643,0.039,0.1015,0.0148,0.009
45,0.1675,0.0407,0.0998,0.0178,0.0093
46,0.1644,0.0406,0.0992,0.0157,0.0089
47,0.1655,0.0407,0.0997,0.0164,0.0086
48,0.1638,0.0391,0.1001,0.0158,0.0088
49,0.1637,0.0394,0.0994,0.0162,0.0087
50,0.164,0.0406,0.0991,0.0154,0.0089
51,0.1652,0.0403,0.0994,0.0165,0.0091
52,0.1659,0.0408,0.0993,0.0164,0.0093
53,0.1642,0.0395,0.0987,0.017,0.0089
54,0.1663,0.0415,0.0998,0.0159,0.0092
55,0.1661,0.0403,0.0995,0.0175,0.0088
56,0.1637,0.0397,0.0993,0.0158,0.0089
57,0.1668,0.041,0.0995,0.0175,0.0088
58,0.1639,0.0415,0.0995,0.0142,0.0088
59,0.164,0.0393,0.099,0.0166,0.0092
60,0.1674,0.0409,0.0992,0.0185,0.0088
61,0.1655,0.0403,0.0996,0.0169,0.0087
62,0.1653,0.0405,0.0995,0.0164,0.009
63,0.1621,0.0386,0.0989,0.0158,0.0088
64,0.1667,0.0406,0.0999,0.0175,0.0087
65,0.1645,0.0394,0.0991,0.0167,0.0092
66,0.164,0.0388,0.0993,0.017,0.0089
67,0.1648,0.0408,0.0988,0.0162,0.0089
68,0.1634,0.0388,0.0993,0.0163,0.0091
69,0.1627,0.0399,0.099,0.0152,0.0087
70,0.166,0.0411,0.0995,0.0165,0.0089
71,0.164,0.0388,0.0994,0.0168,0.009
72,0.1629,0.0385,0.0991,0.0162,0.0091
73,0.1654,0.04,0.0995,0.0171,0.0088
74,0.1624,0.0391,0.0993,0.0151,0.0089
75,0.1639,0.0391,0.0998,0.0162,0.0088
76,0.1654,0.0401,0.0998,0.0166,0.0089
77,0.166,0.0399,0.0998,0.0176,0.0088
78,0.1642,0.0412,0.0989,0.0153,0.0089
79,0.1648,0.0397,0.0995,0.0168,0.0088
80,0.1629,0.0405,0.0989,0.0145,0.009
81,0.1625,0.0404,0.099,0.0144,0.0088
82,0.1645,0.0399,0.0998,0.016,0.0088
83,0.1639,0.0394,0.0995,0.016,0.0089
84,0.1627,0.0396,0.0989,0.0152,0.0089
85,0.1652,0.0407,0.0994,0.0166,0.0085
86,0.1638,0.0399,0.099,0.0162,0.0087
